theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
30601.0,3070.0,-68937.0,539.0,30601.0,3070.0,-68937.0,-60.543,-106.083,-1077.44,65.698,228.83
31627.0,3508.0,-68724.0,539.0,31627.0,3508.0,-68724.0,-41.264,-101.322,-1057.84,64.729,226.18
32640.0,3942.0,-68508.0,539.0,32640.0,3942.0,-68508.0,-25.76,-95.122,-1041.83,63.428,223.55
33637.0,4371.0,-68289.0,539.0,33637.0,4371.0,-68289.0,-13.434,-86.962,-1025.83,61.777,220.49
34616.0,4790.0,-68069.0,534.0,34616.0,4790.0,-68069.0,-7.319,-79.851,-1006.8,59.505,216.78
35571.0,5200.0,-67849.0,534.0,35571.0,5200.0,-67849.0,-3.996,-73.688,-990.36,57.096,212.46
36500.0,5597.0,-67627.0,534.0,36500.0,5597.0,-67627.0,4.808,-70.562,-981.25,54.244,207.33
37400.0,5980.0,-67406.0,534.0,37400.0,5980.0,-67406.0,16.558,-72.747,-978.15,50.972,201.55
38268.0,6350.0,-67187.0,534.0,38268.0,6350.0,-67187.0,28.195,-76.988,-978.27,48.024,195.34
39101.0,6707.0,-66969.0,534.0,39101.0,6707.0,-66969.0,46.052,-82.887,-979.55,45.213,188.42
39899.0,7053.0,-66754.0,534.0,39899.0,7053.0,-66754.0,65.609,-90.812,-980.28,42.964,181.31
40661.0,7395.0,-66543.0,534.0,40661.0,7395.0,-66543.0,85.783,-98.055,-983.31,42.116,174.17
41388.0,7738.0,-66337.0,560.0,41388.0,7738.0,-66337.0,110.137,-109.221,-988.81,42.095,166.88
42083.0,8087.0,-66135.0,560.0,42083.0,8087.0,-66135.0,134.988,-121.808,-991.4,43.591,160.34
42749.0,8446.0,-65938.0,560.0,42749.0,8446.0,-65938.0,159.546,-124.901,-991.67,45.902,154.37
43390.0,8814.0,-65745.0,560.0,43390.0,8814.0,-65745.0,181.405,-121.718,-988.14,48.191,148.93
44011.0,9192.0,-65555.0,560.0,44011.0,9192.0,-65555.0,199.632,-113.551,-975.57,50.632,144.55
44614.0,9578.0,-65365.0,560.0,44614.0,9578.0,-65365.0,214.609,-99.383,-959.44,52.241,140.56
45200.0,9968.0,-65175.0,560.0,45200.0,9968.0,-65175.0,223.457,-80.116,-942.81,53.169,136.83
45769.0,10361.0,-64979.0,560.0,45769.0,10361.0,-64979.0,230.965,-58.651,-924.0,53.319,133.53
46318.0,10754.0,-64775.0,394.0,46318.0,10754.0,-64775.0,237.758,-38.364,-905.33,52.386,129.31
