theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1397.0,-85399.0,116572.0,409.0,-1397.0,-85399.0,116572.0,-4.52,1016.466,-75.78,0.165,-0.62
-1398.0,-85399.0,116575.0,409.0,-1398.0,-85399.0,116575.0,-4.537,1016.908,-75.79,0.265,-0.54
-1398.0,-85398.0,116577.0,409.0,-1398.0,-85398.0,116577.0,-4.535,1016.692,-75.78,0.408,-0.53
-1398.0,-85398.0,116580.0,409.0,-1398.0,-85398.0,116580.0,-4.515,1016.778,-75.79,0.221,-0.58
-1397.0,-85399.0,116583.0,409.0,-1397.0,-85399.0,116583.0,-4.497,1016.828,-75.79,0.185,-0.57
-1397.0,-85399.0,116586.0,409.0,-1397.0,-85399.0,116586.0,-4.41,1016.876,-78.18,0.198,-0.56
-1396.0,-85399.0,116588.0,409.0,-1396.0,-85399.0,116588.0,-4.335,1016.866,-80.51,-0.04,-0.42
-1396.0,-85398.0,116591.0,409.0,-1396.0,-85398.0,116591.0,-4.367,1016.929,-79.92,0.284,-0.47
-1396.0,-85397.0,116593.0,409.0,-1396.0,-85397.0,116593.0,-2.028,1016.904,-79.57,0.314,-0.41
-1395.0,-85396.0,116595.0,409.0,-1395.0,-85396.0,116595.0,-2.118,1016.821,-79.74,0.493,-0.49
-1395.0,-85394.0,116599.0,409.0,-1395.0,-85394.0,116599.0,-5.079,1016.773,-79.75,0.451,-0.63
-1395.0,-85393.0,116601.0,409.0,-1395.0,-85393.0,116601.0,-4.848,1016.732,-79.76,0.244,-0.54
-1395.0,-85393.0,116605.0,409.0,-1395.0,-85393.0,116605.0,-4.398,1016.749,-79.73,0.098,-0.61
-1395.0,-85394.0,116607.0,409.0,-1395.0,-85394.0,116607.0,-4.591,1016.805,-79.75,-0.008,-0.54
-1395.0,-85394.0,116610.0,409.0,-1395.0,-85394.0,116610.0,-6.858,1016.859,-79.79,0.08,-0.53
-1397.0,-85394.0,116613.0,409.0,-1397.0,-85394.0,116613.0,-9.138,1016.852,-79.83,0.096,-0.58
-1398.0,-85394.0,116616.0,409.0,-1398.0,-85394.0,116616.0,-8.461,1016.752,-79.82,0.136,-0.57
-1399.0,-85394.0,116619.0,409.0,-1399.0,-85394.0,116619.0,-8.136,1016.625,-79.82,0.099,-0.56
-1399.0,-85394.0,116621.0,409.0,-1399.0,-85394.0,116621.0,-8.294,1016.519,-79.82,0.073,-0.56
-1399.0,-85395.0,116624.0,409.0,-1399.0,-85395.0,116624.0,-8.252,1016.457,-79.82,0.09,-0.56
-1400.0,-85395.0,116627.0,409.0,-1400.0,-85395.0,116627.0,-8.289,1016.449,-79.82,0.1,-0.56
-1400.0,-85394.0,116629.0,409.0,-1400.0,-85394.0,116629.0,-8.3,1016.482,-79.82,0.242,-0.43
-1401.0,-85393.0,116634.0,409.0,-1401.0,-85393.0,116634.0,-6.057,1021.334,-77.48,0.396,-0.41
-1401.0,-85393.0,116636.0,409.0,-1401.0,-85393.0,116636.0,-6.229,1020.939,-75.13,0.263,-0.49
-1401.0,-85392.0,116640.0,409.0,-1401.0,-85392.0,116640.0,-9.166,1020.751,-75.77,0.324,-0.63
-1401.0,-85391.0,116643.0,409.0,-1401.0,-85391.0,116643.0,-8.83,1020.918,-78.46,0.427,-0.55
-1401.0,-85390.0,116646.0,409.0,-1401.0,-85390.0,116646.0,-8.294,1020.874,-80.62,0.365,-0.61
-1401.0,-85388.0,116649.0,409.0,-1401.0,-85388.0,116649.0,-8.587,1018.697,-77.64,0.606,-0.54
-1402.0,-85388.0,116651.0,409.0,-1402.0,-85388.0,116651.0,-8.572,1016.504,-74.94,0.329,-0.53
-1402.0,-85387.0,116654.0,409.0,-1402.0,-85387.0,116654.0,-8.498,1017.068,-75.73,0.275,-0.58
-1402.0,-85388.0,116658.0,409.0,-1402.0,-85388.0,116658.0,-8.395,1017.338,-75.99,0.082,-0.71
-1402.0,-85390.0,116661.0,409.0,-1402.0,-85390.0,116661.0,-8.382,1017.12,-75.83,-0.152,-0.65
-1403.0,-85392.0,116665.0,409.0,-1403.0,-85392.0,116665.0,-5.99,1017.038,-75.81,0.006,-0.72
-1403.0,-85394.0,116668.0,409.0,-1403.0,-85394.0,116668.0,-6.104,1016.943,-73.42,-0.07,-0.63
-1404.0,-85396.0,116671.0,409.0,-1404.0,-85396.0,116671.0,-6.707,1016.837,-71.11,-0.098,-0.49
-1405.0,-85397.0,116674.0,409.0,-1405.0,-85397.0,116674.0,-6.378,1016.507,-74.07,0.087,-0.58
-1405.0,-85399.0,116676.0,409.0,-1405.0,-85399.0,116676.0,-6.446,1016.348,-74.33,-0.102,-0.37
-1405.0,-85400.0,116678.0,409.0,-1405.0,-85400.0,116678.0,-4.132,1016.293,-73.58,0.21,-0.49
-1406.0,-85400.0,116680.0,409.0,-1406.0,-85400.0,116680.0,-6.636,1016.337,-73.9,0.25,-0.3
-1407.0,-85400.0,116682.0,409.0,-1407.0,-85400.0,116682.0,-9.603,1016.493,-73.89,0.204,-0.38
-1409.0,-85401.0,116686.0,409.0,-1409.0,-85401.0,116686.0,-6.294,1014.513,-76.12,0.151,-0.48
-1409.0,-85400.0,116690.0,409.0,-1409.0,-85400.0,116690.0,-4.152,1017.607,-75.59,0.309,-0.68
-1409.0,-85399.0,116693.0,409.0,-1409.0,-85399.0,116693.0,-4.707,1017.493,-75.86,0.459,-0.53
-1408.0,-85397.0,116696.0,409.0,-1408.0,-85397.0,116696.0,-4.947,1017.123,-75.76,0.597,-0.58
-1408.0,-85397.0,116698.0,409.0,-1408.0,-85397.0,116698.0,-4.629,1017.361,-75.81,0.373,-0.55
-1408.0,-85396.0,116701.0,409.0,-1408.0,-85396.0,116701.0,-4.476,1017.225,-78.17,0.258,-0.54
-1408.0,-85397.0,116704.0,409.0,-1408.0,-85397.0,116704.0,-4.259,1017.154,-80.51,0.045,-0.57
-1408.0,-85397.0,116708.0,409.0,-1408.0,-85397.0,116708.0,-4.202,1019.44,-79.97,0.15,-0.71
-1407.0,-85394.0,116715.0,409.0,-1407.0,-85394.0,116715.0,-4.17,1020.9,-79.87,0.336,-0.72
-1407.0,-85393.0,116718.0,409.0,-1407.0,-85393.0,116718.0,-4.201,1020.413,-79.82,0.357,-0.64
-1406.0,-85393.0,116720.0,409.0,-1406.0,-85393.0,116720.0,-4.223,1020.449,-79.83,0.248,-0.49
-1406.0,-85392.0,116723.0,409.0,-1406.0,-85392.0,116723.0,-4.253,1020.351,-79.81,0.251,-0.58
-1406.0,-85390.0,116726.0,409.0,-1406.0,-85390.0,116726.0,-6.667,1020.398,-79.87,0.453,-0.51
-1407.0,-85389.0,116729.0,409.0,-1407.0,-85389.0,116729.0,-9.126,1020.55,-77.52,0.545,-0.58
-1407.0,-85388.0,116732.0,409.0,-1407.0,-85388.0,116732.0,-6.316,1020.704,-75.13,0.401,-0.59
-1407.0,-85388.0,116735.0,409.0,-1407.0,-85388.0,116735.0,-3.738,1020.755,-75.67,0.287,-0.55
-1406.0,-85390.0,116740.0,409.0,-1406.0,-85390.0,116740.0,-4.825,1018.595,-75.78,-0.004,-0.43
-1405.0,-85391.0,116742.0,409.0,-1405.0,-85391.0,116742.0,-4.67,1016.301,-75.77,0.116,-0.33
-1405.0,-85392.0,116743.0,409.0,-1405.0,-85392.0,116743.0,-4.678,1016.789,-75.78,0.081,-0.32
-1406.0,-85392.0,116745.0,409.0,-1406.0,-85392.0,116745.0,-4.679,1016.932,-75.8,0.126,-0.34
-1406.0,-85393.0,116748.0,409.0,-1406.0,-85393.0,116748.0,-4.733,1014.249,-75.74,0.104,-0.56
-1407.0,-85394.0,116751.0,409.0,-1407.0,-85394.0,116751.0,-4.769,1011.87,-75.69,0.066,-0.62
-1408.0,-85394.0,116754.0,409.0,-1408.0,-85394.0,116754.0,-4.798,1012.378,-75.71,0.236,-0.6
-1408.0,-85393.0,116757.0,409.0,-1408.0,-85393.0,116757.0,-4.778,1012.709,-75.71,0.342,-0.59
-1409.0,-85392.0,116760.0,409.0,-1409.0,-85392.0,116760.0,-4.696,1012.604,-75.71,0.49,-0.51
-1410.0,-85391.0,116762.0,409.0,-1410.0,-85391.0,116762.0,-4.582,1012.781,-75.71,0.569,-0.55
-1410.0,-85390.0,116765.0,409.0,-1410.0,-85390.0,116765.0,-4.469,1012.953,-75.71,0.346,-0.59
-1411.0,-85389.0,116768.0,409.0,-1411.0,-85389.0,116768.0,-4.378,1015.516,-75.76,0.41,-0.57
-1411.0,-85390.0,116771.0,409.0,-1411.0,-85390.0,116771.0,-4.334,1017.982,-75.8,0.153,-0.56
-1410.0,-85387.0,116777.0,409.0,-1410.0,-85387.0,116777.0,-1.844,1019.339,-80.51,0.426,-0.56
-1409.0,-85387.0,116780.0,409.0,-1409.0,-85387.0,116780.0,0.386,1016.54,-79.82,0.257,-0.56
-1408.0,-85385.0,116783.0,409.0,-1408.0,-85385.0,116783.0,-0.267,1016.639,-79.53,0.517,-0.57
-1406.0,-85384.0,116786.0,409.0,-1406.0,-85384.0,116786.0,-0.603,1019.297,-79.76,0.293,-0.56
-1405.0,-85383.0,116788.0,409.0,-1405.0,-85383.0,116788.0,-0.462,1021.233,-79.76,0.286,-0.56
-1405.0,-85382.0,116791.0,409.0,-1405.0,-85382.0,116791.0,-0.543,1018.299,-79.71,0.321,-0.56
-1404.0,-85383.0,116794.0,409.0,-1404.0,-85383.0,116794.0,-0.555,1015.643,-79.64,0.054,-0.56
-1404.0,-85383.0,116797.0,409.0,-1404.0,-85383.0,116797.0,-0.562,1016.407,-79.67,0.078,-0.56
-1405.0,-85384.0,116799.0,409.0,-1405.0,-85384.0,116799.0,-0.533,1016.646,-79.67,-0.065,-0.42
